image_path,description,pages,doc_sources
/content/image/What-contribution-do-banks-make-to-the-ecological-transition_page1_img1.jpeg,"L'image est en noir et blanc et montre une route droite qui s'étend vers l'horizon sous un ciel sombre et nuageux. Sur les côtés de la route, il y a des arbres qui apparaissent lumineux, presque blancs, ce qui suggère qu'il pourrait s'agir d'une photographie infrarouge. Les arbres bordent la route et s'étendent jusqu'aux collines en arrière-plan. L'horizon est marqué par des montagnes ou des collines qui sont également lumineuses dans cette image infrarouge. Le ciel est très sombre, ce qui crée un contraste marqué avec la luminosité des arbres et des collines.

En résumé, l'image montre une route rectiligne, se dirigeant vers l'horizon, bordée de deux côtés par des arbres lumineux, sous un ciel sombre et nuageux. La composition donne une impression de profondeur et de mystère, renforcée par l'utilisation du noir et blanc et les caractéristiques de la photographie infrarouge.",page1,What-contribution-do-banks-make-to-the-ecological-transition
/content/image/What-contribution-do-banks-make-to-the-ecological-transition_page1_img1.jpeg,ERREUR: 'list' object has no attribute 'add',page1,What-contribution-do-banks-make-to-the-ecological-transition
/content/image/20240903-bnpparibas-csr-presentation-2024_page11_img32.png,"L'image représente un symbole ou une icône très simple. Il s'agit d'un carré noir avec des coins arrondis, ce qui lui donne une forme légèrement adoucie. L'intérieur du carré est entièrement rempli de noir, sans aucun autre motif ou détail visible.

Ce type de symbole peut être utilisé dans divers contextes, comme un élément d'interface utilisateur dans des logiciels ou des applications, ou comme un marqueur dans des diagrammes. Sa simplicité et son design minimaliste le rendent polyvalent pour de nombreuses utilisations.",page11,20240903-bnpparibas-csr-presentation-2024
/content/image/20240903-bnpparibas-csr-presentation-2024_page11_img32.png,ERREUR: 'list' object has no attribute 'add',page11,20240903-bnpparibas-csr-presentation-2024
/content/image/as_101_climate_risk_banks_en_page16_img1.png,"L'image représente un diagramme circulaire et un diagramme à barres, tous deux illustrant la répartition de l'utilisation de l'énergie en pourcentages dans différents secteurs.

### Diagramme Circulaire
Le diagramme circulaire montre la répartition de l'utilisation de l'énergie selon les sources et les secteurs. Les données sont les suivantes :

- **Utilisation de l'énergie** : 70,3 %
  - **Agriculture** : 16,7 %
  - **Procédés industriels et solvants** : 9,5 %
  - **Déchets** : 3,5 %

### Diagramme à Barres
Le diagramme à barres illustre la répartition de l'utilisation de l'énergie par secteur. Les données sont les suivantes :

- **Industrie énergétique** : 9,9 %
- **Transport** : 29,0 %
- **Industrie manufacturière et construction** : 10,7 %
- **Résidentiel-tertiaire** : 17,1 %
- **Autre** : 4,0 %

### Résumé
",page16,as_101_climate_risk_banks_en
/content/image/as_101_climate_risk_banks_en_page16_img1.png,ERREUR: 'list' object has no attribute 'add',page16,as_101_climate_risk_banks_en
/content/image/20240903-bnpparibas-csr-presentation-2024_page29_img4.png,"Cette image montre une scène assez sombre et floue, probablement prise dans un environnement extérieur avec une faible lumière ambiante. On peut distinguer quelques éléments, mais ils sont difficiles à identifier clairement en raison du manque de netteté et de contraste. 

1. **Fond de l'image**: Le fond semble être un paysage avec des arbres ou de la végétation, bien que les contours soient assez flous et les détails ne soient pas bien définis.
2. **Ciel**: Le ciel occupe une partie supérieure de l'image et semble avoir une teinte sombre, ce qui pourrait indiquer qu'il s'agit de la nuit ou de la fin de la journée.
3. **Premier plan**: Dans la partie inférieure de l'image, on peut voir une structure qui pourrait être un bâtiment ou une maison. La silhouette est sombre et se détache à peine du fond.
4. **Couleurs**: L'image est dominée par des teintes sombres, principalement des nuances de gris et de noir, avec très peu de contraste.

En résumé, cette image représente",page29,20240903-bnpparibas-csr-presentation-2024
/content/image/20240903-bnpparibas-csr-presentation-2024_page8_img5.png,"L'image semble être une capture d'écran d'un site web ou d'une application avec un fond blanc. Voici une description détaillée :

1. **En-tête (Header)** :
   - Il y a un en-tête en haut de l'image avec plusieurs éléments :
     - **Logo** : À gauche, il y a un logo, probablement celui de l'entreprise ou de l'application.
     - **Navigation** : À droite du logo, il y a plusieurs onglets de navigation. Ils sont probablement des liens menant à différentes sections du site ou de l'application.

2. **Contenu Principal** :
   - Sous l'en-tête, il y a une section principale avec un fond blanc.
   - Il y a une image ou un graphique au centre de cette section. Cette image semble être une illustration ou une photo, mais les détails spécifiques ne sont pas clairs.
   - À droite de cette image, il y a un bloc de texte. Le texte est écrit en noir et semble être une description ou une explication de l'image ou du sujet principal de la page.

3. **Pied de Page (Footer)** :
   - En bas de",page8,20240903-bnpparibas-csr-presentation-2024
/content/image/20240903-bnpparibas-csr-presentation-2024_page10_img32.png,"L'image représente un logo ou une icône simple et stylisée. Voici une description détaillée :

1. **Forme Générale** : Le logo est composé de deux rectangles qui se chevauchent légèrement. Le rectangle supérieur est plus petit et plus clair, tandis que le rectangle inférieur est plus grand et plus foncé.

2. **Couleurs** : Les couleurs utilisées sont des nuances de bleu. Le rectangle supérieur est d'un bleu plus clair, tandis que le rectangle inférieur est d'un bleu plus foncé.

3. **Orientation** : Les rectangles sont orientés verticalement, avec le rectangle supérieur légèrement décalé vers la droite par rapport au rectangle inférieur.

4. **Style** : Le design est minimaliste et moderne, avec des lignes épurées et des formes géométriques simples.

5. **Utilisation Potentielle** : Ce type de logo pourrait être utilisé par une entreprise technologique, une application mobile, ou une organisation qui valorise la simplicité et la modernité dans son image de marque.

Ce logo est conçu pour être facilement reconnaissable et mémorable, tout en",page10,20240903-bnpparibas-csr-presentation-2024
/content/image/20240903-bnpparibas-csr-presentation-2024_page16_img2.png,"L'image présente le logo de BNP Paribas, une banque internationale française. Voici une description détaillée :

- **Couleurs** : Le logo est principalement composé de deux couleurs. À gauche, il y a un carré vert avec des étoiles blanches. Le reste du texte est en gris foncé.
- **Symbole** : Le carré vert contient quatre étoiles blanches disposées en forme de cercle. Ces étoiles semblent être stylisées et rappellent un mouvement ou une dynamique.
- **Texte** : À droite du carré vert, le nom ""BNP PARIBAS"" est écrit en majuscules et en gris foncé. Le texte est en police sans-serif, ce qui lui donne un aspect moderne et professionnel.

Le design global du logo est simple et élégant, reflétant l'image professionnelle et internationale de la banque.",page16,20240903-bnpparibas-csr-presentation-2024
/content/image/20240903-bnpparibas-csr-presentation-2024_page7_img4.png,"L'image montre une petite fenêtre de dialogue ou de notification avec un fond blanc. La fenêtre contient un texte en japonais écrit en caractères noirs. Le texte semble être une sorte de message ou d'instruction, mais sans contexte supplémentaire, il est difficile de déterminer son contenu exact. La fenêtre a un cadre gris clair et une ombre légère, ce qui lui donne un aspect tridimensionnel. Il n'y a pas d'autres éléments visibles dans l'image.",page7,20240903-bnpparibas-csr-presentation-2024
/content/image/20240903-bnpparibas-csr-presentation-2024_page18_img6.png,"Cette image est une forme simple et géométrique représentant un triangle équilatéral. Voici une description détaillée :

1. **Forme** : Le triangle est équilatéral, ce qui signifie que ses trois côtés sont de longueur égale et que ses trois angles intérieurs sont également égaux, mesurant chacun 60 degrés.

2. **Couleur** : Le triangle est de couleur noire.

3. **Contour et Remplissage** : Il est rempli de manière uniforme avec la même couleur noire, sans contours ou bordures visibles d'une autre couleur.

4. **Orientation** : Le triangle est orienté de telle manière qu'une de ses pointes est dirigée vers le haut, tandis que la base est horizontale.

Ce type de figure géométrique est souvent utilisé dans divers contextes, tels que la géométrie, la décoration, et même comme symbole dans certains domaines.",page18,20240903-bnpparibas-csr-presentation-2024
/content/image/bnp_paribas_2023_climate_report_page29_img1.jpeg,"L'image représente une scène industrielle et naturelle combinée, réalisée dans un style artistique qui semble être une aquarelle ou une peinture numérique. Elle met en valeur un pylône électrique, une structure métallique utilisée pour supporter des lignes à haute tension. Le pylône se détache sur un fond de ciel nuageux, avec des nuages gris et blancs dispersés, suggérant un temps couvert ou potentiellement pluvieux.

Le pylône est placé au centre de l'image, s'étendant verticalement du bas jusqu'à environ les deux tiers de l'image. Plusieurs câbles électriques s'étendent à partir du pylône, s'étirant horizontalement et diagonalement à travers l'image, créant des lignes nettes qui contrastent avec le ciel flou en arrière-plan.

En bas de l'image, il y a une étendue de végétation, comprenant des arbres et des buissons verts, qui forment une ligne d'horizon naturelle. Sous cette végétation, on peut distinguer une zone de terre, probablement une route ou un chemin, qui est bordée par une sort",page29,bnp_paribas_2023_climate_report
/content/image/20240903-bnpparibas-csr-presentation-2024_page20_img8.jpeg,"L'image montre une carte de l'Europe avec les principaux projets d'énergies renouvelables soutenus par BNP Paribas. Elle met en évidence divers projets à travers différents pays, indiquant la capacité de production d'énergie (en mégawatts) et l'année de mise en service de chaque projet. Les projets sont regroupés sous quatre catégories d'énergies renouvelables : photovoltaïque, éolien terrestre, éolien maritime et hydroélectrique. Voici un détail des projets listés :

1. **Seamade (Belgique) - 487 MW** 
   - **Type : Éolien maritime**
   - **Année de mise en service : 2021**

2. **Moray West (Royaume-Uni) - 882 MW**
   - **Type : Éolien maritime**
   - **Année de mise en service : 2025**

3. **Oweninny (Irlande) - 172 MW**
   - **Type : Éolien terrestre**
   - **Année de mise en service : ",page20,20240903-bnpparibas-csr-presentation-2024
/content/image/What-contribution-do-banks-make-to-the-ecological-transition_page14_img1.png,"Sur cette image en noir et blanc, deux personnes se tiennent côte à côte, chacune utilisant un smartphone. La personne à gauche porte un pull à col rond de couleur unie et un jean, tandis que celle à droite est vêtue d'une chemise à boutons et d'un pantalon. Les deux individus semblent concentrés sur leurs appareils, regardant les écrans de leurs téléphones. Leur posture est détendue et ils semblent être dans un environnement calme. L'image est cadrée de manière à ne montrer que le haut de leurs corps et leurs visages ne sont pas visibles, ce qui met l'accent sur les objets qu'ils tiennent.",page14,What-contribution-do-banks-make-to-the-ecological-transition
/content/image/20240903-bnpparibas-csr-presentation-2024_page27_img5.png,"Cette image est une photographie en noir et blanc d'un objet circulaire. La forme est parfaitement symétrique et uniformément colorée en blanc, sans détails supplémentaires ou motifs visibles. L'arrière-plan est également blanc, ce qui rend l'objet circulaire presque indiscernable à première vue. L'image semble être un cercle blanc sur un fond blanc, sans ombre ni contraste notable. La composition est simple et minimaliste, mettant l'accent sur la forme géométrique sans distractions visuelles.",page27,20240903-bnpparibas-csr-presentation-2024
/content/image/bnp_paribas_2023_climate_report_page25_img1.jpeg,"L'image représente une forêt dense de conifères, dominée par des pins ou des sapins. Les arbres sont dessinés en silhouette et sont principalement de couleur verte, avec des nuances plus claires pour les aiguilles et les branches, créant un effet de profondeur. La forêt semble s'étendre à l'infini, avec de nombreux arbres se tenant côte à côte de manière ordonnée. En arrière-plan, il y a une légère brume ou brouillard, ce qui ajoute à l'atmosphère sereine et mystérieuse de la scène. La végétation dense et la teinte verte dominante donnent l'impression d'une forêt luxuriante et paisible. L'ensemble de l'image est encadré par un blanc éclatant, mettant en valeur la verdure des arbres et l'effet de profondeur.",page25,bnp_paribas_2023_climate_report
/content/image/as_101_climate_risk_banks_en_page5_img1.jpeg,"L'image représente un fond abstrait et lumineux avec des lignes fluides et vibrantes. Les couleurs dominantes sont le bleu, le vert et le noir. Les lignes semblent glisser et s'entrecroiser de manière dynamique, créant un effet de mouvement et de fluidité. Le côté gauche de l'image est principalement dominé par des nuances de bleu et de noir, tandis que le côté droit présente des teintes de vert plus vives. L'arrière-plan sombre contraste avec les lignes lumineuses, accentuant leur lueur et leur profondeur. L'effet général est moderne et futuriste, rappelant des thèmes technologiques ou numériques.",page5,as_101_climate_risk_banks_en
/content/image/20240903-bnpparibas-csr-presentation-2024_page5_img6.png,"L'image représente une simple icône en forme de cercle. Le cercle est rempli d'une couleur noire uniforme. Il ne contient aucun motif, symbole ou texte supplémentaire à l'intérieur. Le contour du cercle est également noir, ce qui le rend net et distinct. L'icône est centrée et ne présente aucune autre couleur ou élément, ce qui lui donne un aspect minimaliste et épuré.",page5,20240903-bnpparibas-csr-presentation-2024
/content/image/20240903-bnpparibas-csr-presentation-2024_page28_img4.png,"L'image présente un logo simple mais distinctif. Il se compose d'un carré rouge avec des coins arrondis, positionné au centre de l'image. À l'intérieur de ce carré rouge, il y a un carré blanc plus petit, également avec des coins arrondis. Les deux carrés sont parfaitement centrés l'un par rapport à l'autre, créant un contraste visuel marqué entre le rouge et le blanc. Le fond de l'image est blanc, ce qui permet aux carrés de se détacher clairement. Le design est minimaliste et géométrique, avec une symétrie qui attire l'œil vers le centre de l'image. Il n'y a pas de texte ni d'autres éléments dans l'image. Le logo semble être conçu pour être facilement reconnaissable et mémorable.",page28,20240903-bnpparibas-csr-presentation-2024
/content/image/bnp_paribas_2023_climate_report_page17_img1.jpeg,"Cette image est un diagramme de Sankey (ou diagramme de flux) qui illustre les relations entre différents types de risques liés aux facteurs Environnementaux, Sociaux et de Gouvernance (ESG) et les risques financiers associés. Voici une description détaillée :

### Types de Risques ESG :
1. **Impact physique aigu du changement climatique (23,1 %)** :
   - Ce risque concerne les événements climatiques extrêmes comme les tempêtes, les inondations, et les vagues de chaleur qui ont un impact immédiat.

2. **Impact physique chronique du changement climatique (5,7 %)** :
   - Ce risque se réfère aux changements climatiques à long terme, comme l'augmentation du niveau de la mer et les changements de température moyenne.

3. **Transition vers une économie à faible émission de carbone - Changements de politique (25,1 %)** :
   - Il s'agit des risques liés aux changements dans les politiques gouvernementales visant à réduire les émissions de carbone.

4. **Transition vers une économie à faible émission de",page17,bnp_paribas_2023_climate_report
/content/image/20240903-bnpparibas-csr-presentation-2024_page11_img39.png,"L'image représente une silhouette ou une forme humaine stylisée et simplifiée. La figure est composée de lignes et de formes géométriques simples :

1. **Tête** : La tête est représentée par un cercle.
2. ** Corps** : Le corps est défini par une forme verticale rectangulaire qui s'étend vers le bas à partir du cercle.
3. **Bras** : Deux lignes horizontales s'étendent de chaque côté du rectangle, représentant les bras.
4. **Jambes** : Deux lignes verticales s'étendent vers le bas à partir du bas du rectangle, représentant les jambes.

La silhouette est minimaliste et ne contient aucun détail supplémentaire, ce qui la rend très épurée et facilement reconnaissable comme une représentation humaine basique.",page11,20240903-bnpparibas-csr-presentation-2024
/content/image/20240903-bnpparibas-csr-presentation-2024_page19_img2.png,"L'image représente le logo de BNP Paribas, une banque internationale. 

Le logo se compose de deux éléments principaux :

1. **L'emblème de gauche** : Il s'agit d'un carré avec un fond vert sur lequel sont disposées quatre étoiles blanches en diagonale, partant du coin inférieur gauche vers le coin supérieur droit. Les étoiles ont une apparence stylisée et dynamique, symbolisant probablement le mouvement et la croissance.

2. **Le texte de droite** : À droite de l'emblème, le nom ""BNP PARIBAS"" est écrit en majuscules avec une police de caractères élégante et moderne. Le texte est en gris clair, contrastant bien avec le fond noir de l'image.

L'ensemble du logo est simple mais distinctif, combinant des éléments graphiques et textuels pour représenter l'identité de la marque de manière claire et professionnelle.",page19,20240903-bnpparibas-csr-presentation-2024
/content/image/20240903-bnpparibas-csr-presentation-2024_page10_img12.png,"L'image représente un visage stylisé avec une expression neutre ou légèrement souriante. Le visage est dessiné de manière simple et minimaliste avec des lignes noires sur un fond blanc. Voici une description détaillée :

1. **Forme du Visage** : Le visage est de forme ovale, avec des contours lisses et arrondis.
2. **Yeux** : Les yeux sont représentés par deux petites formes ovales, légèrement inclinées vers le bas, donnant une expression calme ou pensive.
3. **Nez** : Le nez est simplement suggéré par une petite ligne verticale au centre du visage.
4. **Bouche** : La bouche est représentée par une courbe douce, légèrement incurvée vers le haut, indiquant un léger sourire.
5. **Couleur et Style** : L'image est en noir et blanc, avec des lignes noires sur un fond blanc. Le style est minimaliste et épuré, sans détails superflus.

Ce type de dessin est souvent utilisé dans des contextes où une représentation simple et universelle d'un visage humain est nécessaire, comme dans les",page10,20240903-bnpparibas-csr-presentation-2024
/content/image/20240903-bnpparibas-csr-presentation-2024_page26_img6.png,"L'image représente un logo ou une représentation visuelle d'un paysage urbain. Voici une description détaillée :

1. **Forme Générale** : Le logo est composé de formes géométriques, principalement des rectangles et des carrés, disposés de manière à suggérer un paysage urbain.

2. **Couleurs** : Les couleurs utilisées sont principalement le bleu et le blanc. Le bleu est utilisé pour les formes géométriques, tandis que le blanc est utilisé pour l'arrière-plan et certains éléments du logo.

3. **Éléments du Logo** :
   - **Bâtiments** : Il y a plusieurs formes rectangulaires empilées verticalement, représentant probablement des bâtiments ou des gratte-ciels. Ces formes sont de différentes tailles et hauteurs, créant une impression de profondeur et de perspective.
   - **Arrière-plan** : L'arrière-plan est blanc, ce qui contraste avec les formes bleues et les met en évidence.
   - **Détails** : Il y a des lignes et des formes plus petites qui pourraient représenter des fenêtres",page26,20240903-bnpparibas-csr-presentation-2024
/content/image/20240903-bnpparibas-csr-presentation-2024_page5_img2.png,"L'image représente le logo de BNP Paribas, une des plus grandes banques en France et à l'international. Le logo se compose de deux éléments principaux :

1. Une icône verte à gauche : Cette icône est de forme carrée avec des coins arrondis. Elle présente quatre étoiles blanches, orientées dans différentes directions, comme si elles étaient dispersées. Les étoiles symbolisent souvent l'expansion et la diversité des services proposés par la banque.

2. Le texte ""BNP PARIBAS"" à droite : Le nom de la banque est écrit en majuscules, en utilisant une police de caractères moderne et sans empattement. Le texte est en gris clair, offrant un contraste avec le fond noir de l'image.

Le design global est simple et professionnel, reflétant l'image de solidité et de confiance que BNP Paribas souhaite véhiculer.",page5,20240903-bnpparibas-csr-presentation-2024
/content/image/20240903-bnpparibas-csr-presentation-2024_page15_img4.png,"L'image représente une icône de nuage avec une flèche pointant vers le bas. Cette icône est souvent utilisée pour représenter le téléchargement de fichiers à partir d'un service de stockage en ligne ou de cloud. Voici une description plus détaillée :

1. **Forme du Nuage** : Le nuage est stylisé avec des courbes douces et arrondies, typiques des représentations de nuages dans les icônes numériques.
2. **Flèche** : Une flèche pointant vers le bas est intégrée dans le nuage. La flèche est généralement utilisée pour indiquer une action de téléchargement.
3. **Couleur et Style** : L'icône est en noir et blanc, avec des lignes épaisses pour délimiter clairement les formes du nuage et de la flèche.

Cette icône est couramment utilisée dans les interfaces utilisateur pour indiquer une option de téléchargement, souvent associée à des services comme Google Drive, Dropbox, ou d'autres plateformes de stockage cloud.",page15,20240903-bnpparibas-csr-presentation-2024
/content/image/20240903-bnpparibas-csr-presentation-2024_page23_img1.png,"L'image contient un texte en anglais : ""The bank for a changing world"" qui se traduit en français par ""La banque pour un monde en mutation"". Le texte est en blanc sur un fond noir. Les mots ""bank"" et ""changing"" sont mis en évidence avec une taille de police plus grande et un style gras pour les faire ressortir. L'ensemble de l'image semble être un slogan ou une devise, probablement pour une banque, soulignant l'idée de soutien et d'adaptation aux changements dans le monde.",page23,20240903-bnpparibas-csr-presentation-2024
/content/image/20240903-bnpparibas-csr-presentation-2024_page4_img4.png,"L'image présente un logo pour ""Global 100 : Les entreprises les plus durables au monde"". Voici une description détaillée :

1. **Arrière-plan** : Le fond de l'image est noir, ce qui offre un contraste fort avec les éléments colorés du logo.

2. **Logo** : Le logo est principalement composé de texte et d'un symbole circulaire coloré.

3. **Symbole circulaire** : À gauche du texte, il y a un symbole circulaire composé de plusieurs segments colorés. Ces segments sont de couleurs différentes, incluant du vert, du bleu, du rose, du jaune et du violet. Les couleurs sont disposées en sections triangulaires formant un cercle complet, évoquant l'idée de diversité et d'unité.

4. **Texte** : Le texte ""GLOBAL 100"" est écrit en majuscules blanches, avec un style de police audacieux et moderne. Le mot ""GLOBAL"" est plus grand que le mot ""100"", qui est légèrement plus petit et positionné en dessous de ""GLOBAL"". 

5. **Slogan** : Sous ""GLOBAL 100"",",page4,20240903-bnpparibas-csr-presentation-2024
/content/image/20240903-bnpparibas-csr-presentation-2024_page28_img5.jpeg,"L'image montre une femme souriante sur un fond unicolore vert. Elle porte une veste grise sur un haut rouge. Ses cheveux sont de couleur châtain et tombent sur ses épaules. Elle semble poser pour une photo professionnelle. L'expression sur son visage est chaleureuse et avenante, ce qui suggère un cadre formel mais accueillant. Il n'y a pas d'autres objets ou éléments visibles dans l'image, ce qui met l'accent uniquement sur la femme et son apparence.",page28,20240903-bnpparibas-csr-presentation-2024
/content/image/as_101_climate_risk_banks_en_page13_img1.jpeg,"L'image contient quatre cartes du monde qui illustrent les changements moyens de température et de précipitations à deux niveaux différents de réchauffement climatique global : 1,5°C et 2,0°C par rapport à la température moyenne globale de surface (GMST).

### Changements de Température Moyenne

1. **Changement de température moyenne à 1,5°C de réchauffement GMST (en haut à gauche)**
   - La carte montre les changements de température moyenne à travers le monde si le réchauffement global atteint 1,5°C.
   - Les nuances de couleur varient du blanc (changement mineur) au rouge foncé (changement significatif).
   - Les augmentations de température sont notables dans les régions tropicales, les zones arctiques et certaines parties de l'hémisphère sud.

2. **Changement de température moyenne à 2,0°C de réchauffement GMST (en haut à droite)**
   - Cette carte présente les changements de température à un niveau de réchauffement global de 2",page13,as_101_climate_risk_banks_en
/content/image/20240903-bnpparibas-csr-presentation-2024_page3_img7.png,"Cette image montre un logo ou un symbole qui semble être une forme stylisée de fleur ou de flocon de neige. Le dessin est composé de plusieurs lignes courbes et pointues qui se croisent au centre. Il est de couleur noire sur un fond blanc, ce qui lui donne un aspect simple et élégant. Ce type de design pourrait être utilisé pour diverses applications, telles que des logos de marque, des icônes ou des éléments décoratifs.",page3,20240903-bnpparibas-csr-presentation-2024
